brand;tariff;model;motorization;finishing;engine;gear
RENAULT;2204;Twingo;Essence;Zen SCe 70 Stop & Start ECO2;SCe 70;Manuelle
RENAULT;2204;Twingo;Essence;Zen Energy TCe 90;TCe 90;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Confort Energy dCi 90;dCi 90;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Confort dCi 90;dCi 90;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Confort Energy dCi 75;dCi 75;Manuelle
RENAULT;2203;KANGOO EXPRESS;Essence;Confort Energy TCe 115;Tce 115;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Confort dCi 75;dCi 75;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Gd Confort Energy dCi 110;dCi 110;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Gd Confort dCi 90;dCi 90;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Gd Confort Energy dCi 90;dCi 90;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Gd Confort dCi 75;dCi 75;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Gd Confort Energy dCi 75;dCi 75;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Gd Confort dCi 110;dCi 110;Manuelle
RENAULT;2203;KANGOO EXPRESS;Essence;Gd Confort Energy TCe 115;Tce 115;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Extra R-Link Energy dCi 90;dCi 90;Manuelle
RENAULT;2203;KANGOO EXPRESS;Essence;Extra R-Link Energy TCE 115;Tce 115;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Extra R-Link dCi 110;dCi 110;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Extra R-Link dCi 90;dCi 90;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Extra R-Link Energy dCi 75;dCi 75;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Extra R-Link Energy dCi 110;dCi 110;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Générique dCi 75;dCi 75;Manuelle
RENAULT;2203;KANGOO EXPRESS;Essence;Générique Energy TCe 115;Tce 115;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Cab Appro Gd Confort dCi 90;dCi 90;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Cab Appro GdConfort Energy dCi 90;dCi 90;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;CabAppro GdConfort Energy dCi 110;dCi 110;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Cab Appro Gd Confort dCi 110;dCi 110;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;CabApp ExtraR-Link Energy dCi 110;dCi 110;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Cab Appro Extra R-Link dCi 110;dCi 110;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Cab Appro Extra R-Link dCi 90;dCi 90;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;CabAppr ExtraR-Link Energy dCi 90;dCi 90;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Cab Appro Confort dCi 90;dCi 90;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Cab Appro Confort Energy dCi 90;dCi 90;Manuelle
RENAULT;2203;KANGOO EXPRESS;Essence;Base Pick Up PàP - Energy TCE 115;Tce 115;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Base Frigo PàP - dCi 75;dCi 75;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Base Pick Up PàP - dCi 75;dCi 75;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Combi dCi 110 base Ambulances;dCi 110;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;GdVolume GdConfort Energy dCi 110;dCi 110;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Gd Volume Gd Confort dCi 110;dCi 110;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;GdVolume GdConfort Energy dCi 90;dCi 90;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Gd Volume Gd Confort dCi 90;dCi 90;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Gd Volume Confort Energy dCi 90;dCi 90;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Gd Volume Confort dCi 90;dCi 90;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Gd Volume Extra R-Link dCi 110;dCi 110;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Gd Volume Extra R-Link dCi 90;dCi 90;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;GdVol ExtraR-Link Energy dCi 110;dCi 110;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;GdVol ExtraR-Link Energy dCi 90;dCi 90;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Compact Générique dCi 75;dCi 75;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Compact ExtraR-Link Energy dCi 75;dCi 75;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Compact ExtraR-Link Energy dCi 90;dCi 90;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Compact Extra R-Link dCi 90;dCi 90;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Compact GdConfort Energy dCi 90;dCi 90;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Compact GdConfort Energy dCi 75;dCi 75;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Compact Gd Confort dCi 90;dCi 90;Manuelle
RENAULT;2203;KANGOO EXPRESS;Diesel;Compact Gd Confort dCi 75;dCi 75;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;PC-CF L2H1 1200 Energy dCi 120;dCi 120;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;PC-CF L2H1 1200 dCi 140;dCi 140;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;Prêt à Partir Frigo FG L1H1 dCi 115;dCi 115;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;Pr.àPartir Frigo PCL2 Energy dCi 120;dCi 120;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-CF L2H1 1200 dCi 90;dCi 90;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-CF L2H1 1200 Energy dCi 120;dCi 120;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-CF L2H1 1200 dCi 140;dCi 140;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-CF L2H1 1200 dCi 90 Stop & Start;dCi 90;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-CF L2H1 1200 dCi 115;dCi 115;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-GCF L1H1 1000 Energy dCi 140;dCi 140 Energy;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-GCF L1H1 1200 dCi 115;dCi 115;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-GCF L1H1 1200 Energy dCi 120;dCi 120;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-GCF L1H1 1200 Energy dCi 140;dCi 140 Energy;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-GCF L1H1 1200 dCi 90;dCi 90;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-GCF L1H1 1000 dCi90 Stop & Start;dCi 90;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-GCF L1H1 1000 dCi 90;dCi 90;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-GCF L1H1 1200 dCi90 Stop & Start;dCi 90;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-GCF L1H1 1000 Energy dCi 120;dCi 120;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-GCF L1H1 1000 dCi 140;dCi 140;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-GCF L1H1 1200 dCi 140;dCi 140;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-GCF L1H1 1000 dCi 115;dCi 115;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-GCF L2H1 1200 dCi 90;dCi 90;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-GCF L2H1 1200 dCi 115;dCi 115;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-GCF L2H1 1200 dCi 140;dCi 140;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-GCF L2H1 1200 Energy dCi 120;dCi 120;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-GCF L2H1 1200 dCi90 Stop & Start;dCi 90;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-GCF L2H1 1200 Energy dCi 140;dCi 140 Energy;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-CF L1H1 1200 dCi 90;dCi 90;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-CF L1H1 1200 dCi 115;dCi 115;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-CF L1H1 1200 Energy dCi 120;dCi 120;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-CF L1H1 1000 dCi 90 Stop & Start;dCi 90;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-CF L1H1 1000 dCi 90;dCi 90;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-CF L1H1 1000 Energy dCi 120;dCi 120;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-CF L1H1 1000 dCi 115;dCi 115;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-CF L1H1 1200 dCi 90 Stop & Start;dCi 90;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-CF L1H1 1200 dCi 140;dCi 140;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;CA-CF L1H1 1000 dCi 140;dCi 140;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-GCF L2H1 1200 Energy dCi 120;dCi 120;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-GCF L2H1 1200 dCi90 Stop & Start;dCi 90;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-GCF L2H1 1200 Energy dCi 140;dCi 140 Energy;Manuelle
RENAULT;2203;TRAFIC VU;Diesel;FG-GCF L2H1 1200 dCi 90;dCi 90;Manuelle
